iter	Passed	Remaining
0	0	65
1	1	60
2	1	58
3	2	59
4	3	59
5	3	58
6	4	58
7	5	58
8	5	57
9	6	57
10	7	57
11	7	56
12	8	56
13	9	56
14	9	55
15	10	54
16	11	53
17	11	52
18	12	52
19	12	51
20	13	50
21	14	50
22	14	49
23	15	49
24	16	48
25	17	49
26	18	49
27	18	48
28	19	48
29	20	48
30	21	48
31	22	48
32	23	47
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	30	48
39	38	58
40	42	61
41	42	59
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	60	42
59	67	45
60	69	44
61	70	43
62	71	42
63	72	40
64	72	39
65	73	37
66	74	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	78	29
73	79	27
74	79	26
75	80	25
76	81	24
77	81	23
78	82	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	89	8
91	90	7
92	91	6
93	91	5
94	92	4
95	92	3
96	93	2
97	93	1
98	94	0
99	94	0
